GO; STARANZANO ; STRADA SAN CANCIANO 11; STRADA SAN CANCIANO 11,  STARANZANO ;" <img src=""img/loghi/SHELL.gif"" alt=""SHELL"" border=""0"">";  S;1,76;1,76
UD; S. DANIELE DEL FRIULI  ; VIA NAZIONALE 12; VIA NAZIONALE 12,  S. DANIELE DEL FRIULI  ;" <img src=""img/loghi/FLY.gif"" alt=""FLY"" border=""0"">";  S;1,704;1,704
UD; TAVAGNACCO ; VIA MILANO 25; VIA MILANO 25,  TAVAGNACCO ;" <img src=""img/loghi/FLY.gif"" alt=""FLY"" border=""0"">";  S;1,708;1,699
PN; MANIAGO    ; VIA MARCO POLO 26; VIA MARCO POLO 26,  MANIAGO    ;" <img src=""img/loghi/OMV.gif"" alt=""OMV"" border=""0"">";  S/N;;
UD; RIVE D'ARCANO          ; VIA CARNIA 27; VIA CARNIA 27,  RIVE D'ARCANO          ;" <img src=""img/loghi/IP.gif"" alt=""IP"" border=""0"">";  S;1,663;1,663
UD; S. GIORGIO DI NOGARO   ; VIA III ARMATA 47; VIA III ARMATA 47,  S. GIORGIO DI NOGARO   ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,739;1,699
PN; ZOPPOLA    ; SS 13 KM 92+911 50; SS 13 KM 92+911 50,  ZOPPOLA    ;" <img src=""img/loghi/IP.gif"" alt=""IP"" border=""0"">";  S;1,708;1,708
TS; TRIESTE    ; VIA FLAVIA 59; VIA FLAVIA 59,  TRIESTE    ;" <img src=""img/loghi/ERG.gif"" alt=""ERG"" border=""0"">";  S;1,655;1,655
UD; REMANZACCO ; S.P. N. 96 CERNEGLONS 100; S.P. N. 96 CERNEGLONS 100,  REMANZACCO ;" <img src=""img/loghi/FLY.gif"" alt=""FLY"" border=""0"">";  S;1,712;1,704
UD; REMANZACCO ; S.P. N. 96 CERNEGLONS 100; S.P. N. 96 CERNEGLONS 100,  REMANZACCO ;" <img src=""img/loghi/FLY.gif"" alt=""FLY"" border=""0"">";  S;1,712;1,704
UD; GEMONA DEL FRIULI      ; OSOPPO 130; OSOPPO 130,  GEMONA DEL FRIULI      ;" <img src=""img/loghi/FRIULOIL.gif"" alt=""FRIULOIL"" border=""0"">";  S;1,658;1,658
UD; TRICESIMO  ; VIA ROMA 173; VIA ROMA 173,  TRICESIMO  ;" <img src=""img/loghi/IP.gif"" alt=""IP"" border=""0"">";  S;1,653;1,653
UD; PALUZZA    ; SS 52 KM 13 750; SS 52 KM 13 750,  PALUZZA    ;" <img src=""img/loghi/TAMOIL.gif"" alt=""TAMOIL"" border=""0"">";  S;1,691;1,691
UD; UDINE      ; VIA TRICESIMO 46       ; VIA TRICESIMO 46       ,  UDINE      ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,763;1,763
PN; FONTANAFREDDA          ; VIALE EUROPA UNITA 2   ; VIALE EUROPA UNITA 2   ,  FONTANAFREDDA          ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,761;1,761
UD; VILLA SANTINA          ; SS 52 KM 19+046        ; SS 52 KM 19+046        ,  VILLA SANTINA          ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,76;1,76
UD; UDINE      ; LOC.PADERNO-V.LE TRICESIMO 93 ; LOC.PADERNO-V.LE TRICESIMO 93 ,  UDINE      ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,757;1,757
PN; PORDENONE  ; VIA AQUILEIA 30        ; VIA AQUILEIA 30        ,  PORDENONE  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,757;1,757
PN; PORDENONE  ; VIALE GRIGOLETTI 40    ; VIALE GRIGOLETTI 40    ,  PORDENONE  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,757;1,705
UD; TOLMEZZO   ; VIA MARCHI 14          ; VIA MARCHI 14          ,  TOLMEZZO   ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,756;1,756
UD; CHIUSAFORTE; VIA CASASOLA 1         ; VIA CASASOLA 1         ,  CHIUSAFORTE;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,755;1,755
UD; LIGNANO SABBIADORO     ; VIA LATISANA 86        ; VIA LATISANA 86        ,  LIGNANO SABBIADORO     ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,755;1,755
UD; RIVIGNANO  ; VIA CAVOUR 75          ; VIA CAVOUR 75          ,  RIVIGNANO  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,755;1,755
UD; TARVISIO   ; VIA DIAZ 56; VIA DIAZ 56,  TARVISIO   ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,755;1,755
UD; MALBORGHETTO VALBRUNA  ; VIA NAZIONALE 29       ; VIA NAZIONALE 29       ,  MALBORGHETTO VALBRUNA  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,755;1,745
UD; REANA DEL ROIALE       ; VIA NAZIONALE 22       ; VIA NAZIONALE 22       ,  REANA DEL ROIALE       ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,754;1,754
